Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-DEC-2022,43401.7,43422.95,42833.1,42986.45,258702240,5286.02
29-DEC-2022,42684.9,43498.05,42489.8,43252.35,308306902,7453.46
28-DEC-2022,42733.6,43034.95,42694.85,42827.7,230529712,4905.6
27-DEC-2022,42827.75,42927.2,42394.15,42859.5,229631139,4073.47
26-DEC-2022,41716.35,42846.15,41569.45,42630.15,323172447,5974.96
23-DEC-2022,41951.35,42226.65,41597.65,41668.05,332589359,6127.39
22-DEC-2022,42864,42933.5,42231.35,42408.8,344822506,6097.08
21-DEC-2022,43525.75,43614.65,42363.8,42617.95,279419632,5778.76
20-DEC-2022,43152.65,43426.2,42955.4,43359.5,182311453,4264.89
19-DEC-2022,43346.35,43451.45,43110.3,43413.75,175567612,4221.46
16-DEC-2022,43261.75,43598.2,43080.55,43219.5,275179647,5995.42
15-DEC-2022,43940.1,44120.6,43379.1,43498.2,421905538,7710.55
14-DEC-2022,44078.6,44151.8,43987.95,44049.1,349177761,7562.04
13-DEC-2022,43793.7,43983.8,43767.75,43946.55,276976649,7597.74
12-DEC-2022,43455.85,43767.05,43378.8,43708.75,234232065,6013.63
09-DEC-2022,43765.3,43853.4,43361.7,43633.45,443547931,8630.38
08-DEC-2022,43142.25,43640.9,43095.3,43596.85,355690534,10491.54
07-DEC-2022,43157.35,43327.35,42948.45,43098.7,242863321,6447.09
06-DEC-2022,43093.9,43306.85,43076.4,43138.55,379223460,7344.98
05-DEC-2022,43269.35,43372.15,42985,43332.95,242584555,5584.12
02-DEC-2022,42976.7,43131.9,42937.8,43103.75,212807580,5452.61
01-DEC-2022,43512.1,43515.05,43101.85,43260.65,268373857,7735.13
30-NOV-2022,43122.75,43332.3,42880.05,43231,201985065,7508.32
29-NOV-2022,42959.4,43279.6,42959.4,43053.45,223005594,5455.23
28-NOV-2022,42757.2,43159.8,42740,43020.45,238678224,5586.34
25-NOV-2022,43192.45,43339.15,42864.95,42983.95,502822545,7015.41
24-NOV-2022,42838.35,43163.4,42769.65,43075.4,204943911,5532.96
23-NOV-2022,42668.55,42860.55,42556.4,42729.1,359102191,6216.07
22-NOV-2022,42467.4,42508.75,42347.15,42457.05,216312501,4798.48
21-NOV-2022,42286.95,42386.8,42202.55,42346.55,259074794,4669.96
18-NOV-2022,42545.75,42590.75,42223.7,42437.45,280077146,6026.85
17-NOV-2022,42399.65,42622.75,42366.55,42458.05,165403381,4796.28
16-NOV-2022,42371.8,42611.75,42296.3,42535.3,185441496,6387.83
15-NOV-2022,42234.85,42450.05,42079.55,42372.7,139402527,5047
14-NOV-2022,42177.55,42231.45,41965.45,42076.75,142688761,5660.58
11-NOV-2022,42163.4,42345.5,41918.1,42137.05,255371301,11278.54
10-NOV-2022,41462.85,41643.9,41318.6,41603.75,253442361,6747.62
09-NOV-2022,41914.85,41948.9,41667.9,41783.2,490535505,8065.93
07-NOV-2022,41740.65,41779.4,41337.05,41686.7,393367764,9631.98
