Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2024,48203.45,48450,48044.15,48234.3,146861652,4959.89
29-DEC-2023,48374.85,48477.7,48091.85,48292.25,173986713,7476.67
28-DEC-2023,48479.05,48636.45,48343.15,48508.55,391088458,14240.16
27-DEC-2023,47818.5,48347.65,47806.7,48282.2,184934337,7976.75
26-DEC-2023,47576.4,47838.45,47411.65,47724.85,118747478,6180.81
22-DEC-2023,47837.75,48071.4,47415.85,47491.85,165824495,10615.92
21-DEC-2023,47172.45,47932.4,46919.7,47840.15,207998676,10008.37
20-DEC-2023,48085.35,48166.15,47202.65,47445.3,242487993,10779.73
19-DEC-2023,47940.4,48017,47646.05,47870.9,189789200,7801.73
18-DEC-2023,48068.5,48076.6,47806.7,47867.7,157255424,6762.4
15-DEC-2023,47939.9,48219.95,47632.85,48143.55,313865426,20163.08
14-DEC-2023,47567.65,47943.6,47510.85,47732.3,193093079,9839.45
13-DEC-2023,47190.75,47201.95,46886.9,47092.25,202304718,8905.84
12-DEC-2023,47421.7,47454,47004.05,47097.55,181986087,8796.84
11-DEC-2023,47233.3,47588,47186.6,47314.25,182500023,7276.41
08-DEC-2023,46797.2,47303.65,46793.9,47262,218254038,9180.03
07-DEC-2023,46735.4,46927.7,46507.15,46841.4,208148115,6747.85
06-DEC-2023,47256.75,47259.85,46750.2,46834.55,244245159,10666.48
05-DEC-2023,46895.9,47230.55,46653.65,47012.25,326064098,15573.44
04-DEC-2023,45671.5,46484.45,45484.2,46431.4,311170393,14550.11
01-DEC-2023,44580.15,44951.1,44531.75,44814.2,204927587,8180.31
30-NOV-2023,44711.2,44764.8,44254.6,44481.75,343168253,21570.23
29-NOV-2023,44081.75,44630.35,44003.45,44566.45,152338716,7734.64
28-NOV-2023,43851.55,43960.3,43739.8,43880.95,151249387,7047.12
24-NOV-2023,43607.35,43806.5,43566.15,43769.1,96846530,4775.9
23-NOV-2023,43452.75,43649.65,43451.35,43577.5,72280382,3834.27
