Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-DEC-2021,35114.4,35596.95,35113.75,35481.7,210320259,4234.82
30-DEC-2021,34977.65,35179.05,34751.25,35063.6,328003519,7418.43
29-DEC-2021,35168.85,35378.3,34890.8,35045.4,122522831,3502.2
28-DEC-2021,35308.3,35352.4,35037.9,35183.8,181620183,4567.78
27-DEC-2021,34573.65,35143.7,34233,35057.9,335136830,6888.03
24-DEC-2021,35282.2,35327.95,34583.4,34857.05,132458164,3370.2
23-DEC-2021,35350.5,35477.3,35046.25,35191.15,114199334,3761.1
22-DEC-2021,34865.25,35112.1,34687.6,35029.5,128585560,4013.63
21-DEC-2021,34863.35,35050,34389.95,34607.85,159620617,4749.81
20-DEC-2021,35124.35,35231.1,34018.45,34439.85,200121444,6632.7
17-DEC-2021,36491.8,36550.75,35535.05,35618.65,152082650,5119.66
16-DEC-2021,37092.95,37159.3,36385.75,36548.65,112689350,4473.63
15-DEC-2021,36929.5,37083.5,36743.2,36789.55,105795292,4059.21
14-DEC-2021,36778.95,37039.05,36545.4,36893.95,132155329,5926.56
13-DEC-2021,37358.2,37581.05,36861.9,36925.25,157271322,5574.96
10-DEC-2021,37083.15,37153.25,36824.4,37105.65,170851309,4280.7
09-DEC-2021,37331.75,37397.55,36884.45,37082.45,123180683,4973.41
08-DEC-2021,37052.75,37384.8,36905.15,37284.7,164970767,7565.62
07-DEC-2021,36086.95,36820.7,36013.95,36618.4,146690900,7194.76
06-DEC-2021,36252.75,36344.55,35696.75,35735.9,136034034,4839.19
03-DEC-2021,36497.3,36844,36062.85,36197.15,138908168,5366.96
02-DEC-2021,36281.85,36563.5,36166.7,36508.25,131729305,5162.81
01-DEC-2021,35902.9,36445.35,35805,36364.9,173851062,6460.45
30-NOV-2021,35958.8,36774.2,35526.35,35695.3,227277255,9108.48
29-NOV-2021,36224.45,36347.85,35327.9,35976.45,187220921,6835.46
26-NOV-2021,36830.9,36868.9,35904.1,36025.5,211362819,7180.94
25-NOV-2021,37362.05,37507.95,37118.4,37364.75,140754665,5397.62
24-NOV-2021,37384.75,37891.9,37238.05,37441.95,157620877,7326.17
23-NOV-2021,36787,37448.75,36647.55,37272.8,188686871,7162.98
