Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY BANK,01-JAN-2021,30.12,2.61,0.4
NIFTY BANK,04-JAN-2021,30.1,2.6,0.4
NIFTY BANK,05-JAN-2021,30.6,2.65,0.4
NIFTY BANK,06-JAN-2021,30.67,2.65,0.4
NIFTY BANK,07-JAN-2021,30.82,2.67,0.39
NIFTY BANK,08-JAN-2021,30.95,2.68,0.39
NIFTY BANK,11-JAN-2021,30.86,2.67,0.39
NIFTY BANK,12-JAN-2021,31.19,2.7,0.39
NIFTY BANK,13-JAN-2021,31.42,2.72,0.39
NIFTY BANK,14-JAN-2021,31.37,2.71,0.39
NIFTY BANK,15-JAN-2021,31.1,2.69,0.39
NIFTY BANK,18-JAN-2021,30.68,2.65,0.4
NIFTY BANK,19-JAN-2021,30.85,2.71,0.39
NIFTY BANK,20-JAN-2021,30.96,2.72,0.39
NIFTY BANK,21-JAN-2021,30.62,2.69,0.39
NIFTY BANK,22-JAN-2021,29.68,2.6,0.4
NIFTY BANK,25-JAN-2021,29.75,2.6,0.4
NIFTY BANK,27-JAN-2021,28.88,2.53,0.42
NIFTY BANK,28-JAN-2021,28.86,2.53,0.41
NIFTY BANK,29-JAN-2021,28.95,2.55,0.41
NIFTY BANK,01-FEB-2021,31.29,2.76,0.38
NIFTY BANK,02-FEB-2021,31.72,2.86,0.37
NIFTY BANK,03-FEB-2021,32.17,2.9,0.36
NIFTY BANK,04-FEB-2021,32.71,2.95,0.36
NIFTY BANK,05-FEB-2021,33,2.98,0.35
NIFTY BANK,08-FEB-2021,33.46,3,0.35
NIFTY BANK,09-FEB-2021,33.31,3.01,0.35
NIFTY BANK,10-FEB-2021,33.06,2.99,0.35
NIFTY BANK,11-FEB-2021,33.03,2.98,0.35
NIFTY BANK,12-FEB-2021,33.36,3.01,0.35
NIFTY BANK,15-FEB-2021,34.47,3.11,0.34
NIFTY BANK,16-FEB-2021,34.27,3.1,0.34
NIFTY BANK,17-FEB-2021,34.1,3.08,0.34
NIFTY BANK,18-FEB-2021,33.8,3.05,0.34
NIFTY BANK,19-FEB-2021,33.11,2.99,0.35
NIFTY BANK,22-FEB-2021,32.57,2.94,0.36
NIFTY BANK,23-FEB-2021,32.44,2.93,0.36
NIFTY BANK,24-FEB-2021,33.68,3.04,0.35
NIFTY BANK,25-FEB-2021,33.77,3.05,0.34
NIFTY BANK,26-FEB-2021,32.15,2.9,0.36
NIFTY BANK,01-MAR-2021,32.61,2.95,0.36
NIFTY BANK,02-MAR-2021,32.72,2.96,0.36
NIFTY BANK,03-MAR-2021,33.6,3.04,0.35
NIFTY BANK,04-MAR-2021,33.08,2.99,0.35
NIFTY BANK,05-MAR-2021,32.55,2.94,0.36
NIFTY BANK,08-MAR-2021,32.59,2.94,0.36
NIFTY BANK,09-MAR-2021,33.14,2.99,0.35
NIFTY BANK,10-MAR-2021,33.2,3,0.35
