Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY BANK,12-MAR-2021,32.79,2.96,0.35
NIFTY BANK,15-MAR-2021,32.5,2.94,0.36
NIFTY BANK,16-MAR-2021,32.16,2.9,0.36
NIFTY BANK,17-MAR-2021,31.62,2.86,0.37
NIFTY BANK,18-MAR-2021,31.28,2.83,0.37
NIFTY BANK,19-MAR-2021,31.56,2.85,0.37
NIFTY BANK,22-MAR-2021,31.05,2.8,0.37
NIFTY BANK,23-MAR-2021,31.58,2.85,0.37
NIFTY BANK,24-MAR-2021,30.76,2.78,0.38
NIFTY BANK,25-MAR-2021,30.49,2.75,0.38
NIFTY BANK,26-MAR-2021,30.78,2.78,0.38
NIFTY BANK,30-MAR-2021,31.3,2.83,0.37
NIFTY BANK,31-MAR-2021,25.87,3.03,0
NIFTY BANK,01-APR-2021,26.3,3.08,0
NIFTY BANK,05-APR-2021,25.38,2.98,0
NIFTY BANK,06-APR-2021,25.24,2.96,0
NIFTY BANK,07-APR-2021,25.62,3,0
NIFTY BANK,08-APR-2021,25.46,2.99,0
NIFTY BANK,09-APR-2021,25.2,2.95,0
NIFTY BANK,12-APR-2021,23.92,2.8,0
NIFTY BANK,13-APR-2021,24.68,2.89,0
NIFTY BANK,15-APR-2021,24.94,2.92,0
NIFTY BANK,16-APR-2021,24.84,2.91,0
NIFTY BANK,19-APR-2021,24.13,2.84,0
NIFTY BANK,20-APR-2021,24.05,2.83,0
NIFTY BANK,22-APR-2021,24.57,2.89,0
NIFTY BANK,23-APR-2021,24.52,2.88,0
NIFTY BANK,26-APR-2021,24.95,2.94,0
NIFTY BANK,27-APR-2021,24.15,2.98,0
NIFTY BANK,28-APR-2021,24.88,3.07,0
NIFTY BANK,29-APR-2021,24.87,3.07,0
NIFTY BANK,30-APR-2021,24.18,2.98,0
NIFTY BANK,03-MAY-2021,22.44,2.95,0
NIFTY BANK,04-MAY-2021,22.12,2.93,0
NIFTY BANK,05-MAY-2021,22.34,2.98,0
NIFTY BANK,06-MAY-2021,22.38,2.99,0
NIFTY BANK,07-MAY-2021,22.43,2.99,0
NIFTY BANK,10-MAY-2021,22.6,3.01,0
NIFTY BANK,11-MAY-2021,22.49,2.99,0
NIFTY BANK,12-MAY-2021,22.19,2.95,0
NIFTY BANK,14-MAY-2021,22,2.93,0
NIFTY BANK,17-MAY-2021,22.88,3.04,0
NIFTY BANK,18-MAY-2021,23.19,3.09,0
NIFTY BANK,19-MAY-2021,22.95,3.06,0
NIFTY BANK,20-MAY-2021,22.71,3.03,0
NIFTY BANK,21-MAY-2021,23.57,3.15,0
NIFTY BANK,24-MAY-2021,23.8,3.18,0
NIFTY BANK,25-MAY-2021,23.76,3.15,0
NIFTY BANK,26-MAY-2021,23.78,3.15,0
NIFTY BANK,27-MAY-2021,24.06,3.19,0
NIFTY BANK,28-MAY-2021,24.09,3.2,0
NIFTY BANK,31-MAY-2021,24.41,3.23,0
NIFTY BANK,01-JUN-2021,24.28,3.22,0
NIFTY BANK,02-JUN-2021,24.3,3.22,0
NIFTY BANK,03-JUN-2021,24.49,3.24,0.11
NIFTY BANK,04-JUN-2021,24.25,3.21,0.12
NIFTY BANK,07-JUN-2021,24.35,3.22,0.12
NIFTY BANK,08-JUN-2021,23.89,3.19,0.12
NIFTY BANK,09-JUN-2021,23.7,3.17,0.12
NIFTY BANK,10-JUN-2021,23.92,3.2,0.12
NIFTY BANK,11-JUN-2021,23.87,3.19,0.12
NIFTY BANK,14-JUN-2021,23.8,3.18,0.12
NIFTY BANK,15-JUN-2021,24,3.21,0.12
NIFTY BANK,16-JUN-2021,23.84,3.18,0.12
NIFTY BANK,17-JUN-2021,23.57,3.15,0.12
NIFTY BANK,18-JUN-2021,23.53,3.07,0.12
NIFTY BANK,21-JUN-2021,23.75,3.1,0.12
NIFTY BANK,22-JUN-2021,23.66,3.09,0.12
NIFTY BANK,23-JUN-2021,23.55,3.08,0.12
NIFTY BANK,24-JUN-2021,23.72,3.1,0.12
NIFTY BANK,28-JUN-2021,24.08,3.14,0.12
NIFTY BANK,29-JUN-2021,23.84,3.11,0.24
NIFTY BANK,30-JUN-2021,23.75,3,0.24
NIFTY BANK,01-JUL-2021,23.69,2.99,0.25
NIFTY BANK,02-JUL-2021,23.78,3,0.25
NIFTY BANK,05-JUL-2021,24.05,3.03,0.25
NIFTY BANK,06-JUL-2021,24.3,3.07,0.25
NIFTY BANK,07-JUL-2021,24.43,3.08,0.24
NIFTY BANK,08-JUL-2021,24.09,3.04,0.25
NIFTY BANK,09-JUL-2021,23.96,3.02,0.25
NIFTY BANK,12-JUL-2021,24.04,3.03,0.25
NIFTY BANK,13-JUL-2021,24.37,3.07,0.24
NIFTY BANK,14-JUL-2021,24.36,3.07,0.25
NIFTY BANK,15-JUL-2021,24.53,3.09,0.24
NIFTY BANK,16-JUL-2021,24.42,3.08,0.24
NIFTY BANK,19-JUL-2021,23.96,3.02,0.25
NIFTY BANK,20-JUL-2021,23.31,2.97,0.25
NIFTY BANK,22-JUL-2021,23.49,2.99,0.25
NIFTY BANK,23-JUL-2021,23.73,2.94,0.25
NIFTY BANK,26-JUL-2021,23.68,2.93,0.25
NIFTY BANK,27-JUL-2021,23.23,2.86,0.25
NIFTY BANK,28-JUL-2021,22.71,2.84,0.25
NIFTY BANK,29-JUL-2021,22.64,2.86,0.32
NIFTY BANK,30-JUL-2021,22.57,2.85,0.33
NIFTY BANK,02-AUG-2021,22.65,2.86,0.32
NIFTY BANK,03-AUG-2021,23.15,2.9,0.32
NIFTY BANK,04-AUG-2021,23.84,2.97,0.31
NIFTY BANK,05-AUG-2021,23.72,2.95,0.31
NIFTY BANK,06-AUG-2021,23.28,2.95,0.31
NIFTY BANK,09-AUG-2021,23.61,2.96,0.31
NIFTY BANK,10-AUG-2021,23.61,2.95,0.31
NIFTY BANK,11-AUG-2021,23.46,2.93,0.31
NIFTY BANK,12-AUG-2021,23.55,2.94,0.31
NIFTY BANK,13-AUG-2021,23.7,2.96,0.31
NIFTY BANK,16-AUG-2021,23.65,2.96,0.31
NIFTY BANK,17-AUG-2021,23.5,2.78,0.34
NIFTY BANK,18-AUG-2021,23.3,2.76,0.35
NIFTY BANK,20-AUG-2021,22.95,2.72,0.35
NIFTY BANK,23-AUG-2021,23.01,2.73,0.35
NIFTY BANK,24-AUG-2021,23.4,2.77,0.34
NIFTY BANK,25-AUG-2021,23.32,2.76,0.34
NIFTY BANK,26-AUG-2021,23.34,2.76,0.34
NIFTY BANK,27-AUG-2021,23.34,2.77,0.34
NIFTY BANK,30-AUG-2021,23.82,2.82,0.34
NIFTY BANK,31-AUG-2021,23.87,2.77,0.34
NIFTY BANK,01-SEP-2021,23.96,2.78,0.34
NIFTY BANK,02-SEP-2021,24.13,2.8,0.33
NIFTY BANK,03-SEP-2021,24.09,2.8,0.33
NIFTY BANK,06-SEP-2021,23.98,2.78,0.34
NIFTY BANK,07-SEP-2021,23.89,2.77,0.34
NIFTY BANK,08-SEP-2021,24.09,2.8,0.33
NIFTY BANK,09-SEP-2021,24.04,2.79,0.33
NIFTY BANK,13-SEP-2021,23.9,2.77,0.34
NIFTY BANK,14-SEP-2021,23.99,2.78,0.34
NIFTY BANK,15-SEP-2021,24.15,2.8,0.33
NIFTY BANK,16-SEP-2021,24.68,2.87,0.33
NIFTY BANK,17-SEP-2021,24.77,2.88,0.32
NIFTY BANK,20-SEP-2021,24.34,2.83,0.33
NIFTY BANK,21-SEP-2021,24.4,2.83,0.33
NIFTY BANK,22-SEP-2021,24.21,2.81,0.33
NIFTY BANK,23-SEP-2021,24.75,2.87,0.32
NIFTY BANK,24-SEP-2021,24.79,2.87,0.32
NIFTY BANK,27-SEP-2021,25.01,2.89,0.32
NIFTY BANK,28-SEP-2021,24.86,2.87,0.32
NIFTY BANK,29-SEP-2021,24.73,2.86,0.33
NIFTY BANK,30-SEP-2021,24.32,2.81,0.33
NIFTY BANK,01-OCT-2021,24.19,2.8,0.34
NIFTY BANK,04-OCT-2021,24.42,2.82,0.33
NIFTY BANK,05-OCT-2021,24.52,2.84,0.33
NIFTY BANK,06-OCT-2021,24.38,2.82,0.33
NIFTY BANK,07-OCT-2021,24.53,2.84,0.33
NIFTY BANK,08-OCT-2021,24.55,2.84,0.33
NIFTY BANK,11-OCT-2021,24.88,2.88,0.33
NIFTY BANK,12-OCT-2021,25.03,2.9,0.32
NIFTY BANK,13-OCT-2021,25.1,2.9,0.32
NIFTY BANK,14-OCT-2021,25.56,2.96,0.32
NIFTY BANK,18-OCT-2021,25.79,2.98,0.31
NIFTY BANK,19-OCT-2021,25.42,2.97,0.32
NIFTY BANK,20-OCT-2021,25.4,2.97,0.32
NIFTY BANK,21-OCT-2021,25.73,3.01,0.31
NIFTY BANK,22-OCT-2021,25.92,3.03,0.31
NIFTY BANK,25-OCT-2021,26.48,3.1,0.3
NIFTY BANK,26-OCT-2021,26.12,3.1,0.3
NIFTY BANK,27-OCT-2021,25.89,3.07,0.31
NIFTY BANK,28-OCT-2021,24.54,2.97,0.32
NIFTY BANK,29-OCT-2021,24.06,2.94,0.32
NIFTY BANK,01-NOV-2021,24.53,2.99,0.31
NIFTY BANK,02-NOV-2021,25.4,3,0.31
NIFTY BANK,03-NOV-2021,25.06,2.96,0.32
NIFTY BANK,04-NOV-2021,25.17,2.97,0.32
NIFTY BANK,08-NOV-2021,25.08,2.96,0.32
NIFTY BANK,09-NOV-2021,24.32,2.96,0.32
NIFTY BANK,10-NOV-2021,24.11,2.93,0.32
NIFTY BANK,11-NOV-2021,23.82,2.9,0.32
NIFTY BANK,12-NOV-2021,23.93,2.91,0.32
NIFTY BANK,15-NOV-2021,23.91,2.91,0.32
NIFTY BANK,16-NOV-2021,23.67,2.88,0.33
NIFTY BANK,17-NOV-2021,23.5,2.86,0.33
NIFTY BANK,18-NOV-2021,23.46,2.85,0.33
NIFTY BANK,22-NOV-2021,22.94,2.79,0.34
NIFTY BANK,23-NOV-2021,23.03,2.8,0.34
NIFTY BANK,24-NOV-2021,23.13,2.81,0.33
NIFTY BANK,25-NOV-2021,23.09,2.81,0.33
NIFTY BANK,26-NOV-2021,22.26,2.71,0.35
NIFTY BANK,29-NOV-2021,22.23,2.7,0.35
NIFTY BANK,30-NOV-2021,22.05,2.68,0.35
NIFTY BANK,01-DEC-2021,22.47,2.73,0.34
NIFTY BANK,02-DEC-2021,22.56,2.74,0.34
NIFTY BANK,03-DEC-2021,22.36,2.72,0.34
NIFTY BANK,06-DEC-2021,22.08,2.69,0.35
NIFTY BANK,07-DEC-2021,22.62,2.75,0.34
NIFTY BANK,08-DEC-2021,23.04,2.8,0.33
NIFTY BANK,09-DEC-2021,22.91,2.79,0.34
NIFTY BANK,10-DEC-2021,22.92,2.79,0.34
NIFTY BANK,13-DEC-2021,22.81,2.78,0.34
NIFTY BANK,14-DEC-2021,22.79,2.77,0.34
NIFTY BANK,15-DEC-2021,22.73,2.76,0.34
NIFTY BANK,16-DEC-2021,22.58,2.75,0.34
NIFTY BANK,17-DEC-2021,22.01,2.68,0.35
NIFTY BANK,20-DEC-2021,21.28,2.59,0.36
NIFTY BANK,21-DEC-2021,21.38,2.6,0.36
NIFTY BANK,22-DEC-2021,21.64,2.63,0.36
NIFTY BANK,23-DEC-2021,21.74,2.64,0.35
NIFTY BANK,24-DEC-2021,21.54,2.62,0.36
NIFTY BANK,27-DEC-2021,21.66,2.63,0.36
NIFTY BANK,28-DEC-2021,21.74,2.64,0.35
NIFTY BANK,29-DEC-2021,21.65,2.63,0.36
NIFTY BANK,30-DEC-2021,21.66,2.64,0.36
NIFTY BANK,31-DEC-2021,22.33,2.62,0.34
