Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY BANK,01-JAN-2025,13.73,2.25,0.98
NIFTY BANK,02-JAN-2025,13.88,2.27,0.97
NIFTY BANK,03-JAN-2025,13.72,2.25,0.98
NIFTY BANK,06-JAN-2025,13.43,2.2,1
NIFTY BANK,07-JAN-2025,13.5,2.21,0.99
NIFTY BANK,08-JAN-2025,13.4,2.2,1
NIFTY BANK,09-JAN-2025,13.32,2.18,1.01
NIFTY BANK,10-JAN-2025,13.11,2.15,1.02
NIFTY BANK,13-JAN-2025,12.92,2.12,1.04
NIFTY BANK,14-JAN-2025,13.11,2.15,1.02
NIFTY BANK,15-JAN-2025,13.11,2.15,1.02
NIFTY BANK,16-JAN-2025,13.26,2.17,1.01
NIFTY BANK,17-JAN-2025,13.06,2.14,1.03
NIFTY BANK,20-JAN-2025,13.26,2.17,1.01
NIFTY BANK,21-JAN-2025,13.03,2.14,1.03
NIFTY BANK,22-JAN-2025,13.07,2.15,1.02
NIFTY BANK,23-JAN-2025,13.04,2.14,1.03
NIFTY BANK,24-JAN-2025,12.96,2.13,1.03
NIFTY BANK,27-JAN-2025,12.88,2.12,1.04
NIFTY BANK,28-JAN-2025,12.96,2.15,1.02
NIFTY BANK,29-JAN-2025,13.04,2.17,1.01
NIFTY BANK,30-JAN-2025,13.07,2.17,1.01
NIFTY BANK,31-JAN-2025,13.15,2.18,1.01
NIFTY BANK,01-FEB-2025,13.11,2.18,1.01
NIFTY BANK,03-FEB-2025,13.03,2.17,1.01
NIFTY BANK,04-FEB-2025,13.29,2.21,0.99
NIFTY BANK,05-FEB-2025,13.33,2.22,0.99
NIFTY BANK,06-FEB-2025,13.34,2.22,0.99
NIFTY BANK,07-FEB-2025,13.29,2.21,0.99
NIFTY BANK,10-FEB-2025,13.07,2.2,1
NIFTY BANK,11-FEB-2025,12.92,2.18,1.01
NIFTY BANK,12-FEB-2025,12.94,2.18,1.01
NIFTY BANK,13-FEB-2025,12.91,2.17,1.01
NIFTY BANK,14-FEB-2025,12.84,2.16,1.02
NIFTY BANK,17-FEB-2025,12.88,2.17,1.01
NIFTY BANK,18-FEB-2025,12.84,2.16,1.02
NIFTY BANK,19-FEB-2025,13.01,2.18,1.01
NIFTY BANK,20-FEB-2025,12.94,2.17,1.01
NIFTY BANK,21-FEB-2025,12.85,2.16,1.02
NIFTY BANK,24-FEB-2025,12.77,2.14,1.02
NIFTY BANK,25-FEB-2025,12.75,2.14,1.03
NIFTY BANK,27-FEB-2025,12.79,2.15,1.02
NIFTY BANK,28-FEB-2025,12.68,2.13,1.03
NIFTY BANK,03-MAR-2025,12.62,2.12,1.04
NIFTY BANK,04-MAR-2025,12.66,2.13,1.03
NIFTY BANK,05-MAR-2025,12.72,2.14,1.03
NIFTY BANK,06-MAR-2025,12.76,2.14,1.03
NIFTY BANK,07-MAR-2025,12.72,2.14,1.03
NIFTY BANK,10-MAR-2025,12.65,2.12,1.03
NIFTY BANK,11-MAR-2025,12.56,2.11,1.04
NIFTY BANK,12-MAR-2025,12.61,2.12,1.04
NIFTY BANK,13-MAR-2025,12.61,2.12,1.04
NIFTY BANK,17-MAR-2025,12.69,2.13,1.03
NIFTY BANK,18-MAR-2025,12.94,2.17,1.01
NIFTY BANK,19-MAR-2025,13.04,2.19,1
NIFTY BANK,20-MAR-2025,13.14,2.21,1
NIFTY BANK,21-MAR-2025,13.27,2.23,0.99
NIFTY BANK,24-MAR-2025,13.57,2.28,0.96
NIFTY BANK,25-MAR-2025,13.54,2.27,0.97
NIFTY BANK,26-MAR-2025,13.44,2.26,0.97
NIFTY BANK,27-MAR-2025,13.53,2.27,0.97
NIFTY BANK,28-MAR-2025,13.18,2.2,1.01
NIFTY BANK,01-APR-2025,12.99,2.17,1.02
NIFTY BANK,02-APR-2025,13.12,2.19,1.01
NIFTY BANK,03-APR-2025,13.19,2.2,1.01
NIFTY BANK,04-APR-2025,13.16,2.2,1.01
NIFTY BANK,07-APR-2025,12.74,2.13,1.04
NIFTY BANK,08-APR-2025,12.91,2.16,1.03
NIFTY BANK,09-APR-2025,12.84,2.14,1.04
NIFTY BANK,11-APR-2025,13.04,2.18,1.02
NIFTY BANK,15-APR-2025,13.39,2.23,0.99
NIFTY BANK,15-APR-2025,13.39,2.23,0.99
NIFTY BANK,16-APR-2025,13.58,2.27,0.98
NIFTY BANK,17-APR-2025,13.88,2.32,0.96
NIFTY BANK,21-APR-2025,14.13,2.36,0.94
NIFTY BANK,22-APR-2025,14.22,2.37,0.94
NIFTY BANK,23-APR-2025,14,2.36,0.94
NIFTY BANK,24-APR-2025,13.94,2.36,0.94
NIFTY BANK,25-APR-2025,13.81,2.33,0.95
NIFTY BANK,28-APR-2025,14,2.37,0.94
NIFTY BANK,29-APR-2025,14.05,2.36,0.94
NIFTY BANK,30-APR-2025,13.97,2.35,0.95
NIFTY BANK,02-MAY-2025,13.98,2.35,0.94
NIFTY BANK,05-MAY-2025,13.91,2.34,0.95
NIFTY BANK,06-MAY-2025,13.79,2.32,0.96
NIFTY BANK,07-MAY-2025,13.89,2.33,0.95
NIFTY BANK,08-MAY-2025,13.81,2.32,0.96
NIFTY BANK,09-MAY-2025,13.54,2.29,0.97
NIFTY BANK,12-MAY-2025,14,2.36,0.66
NIFTY BANK,13-MAY-2025,13.82,2.34,0.67
NIFTY BANK,14-MAY-2025,13.79,2.34,0.67
NIFTY BANK,15-MAY-2025,13.93,2.36,0.66
NIFTY BANK,16-MAY-2025,13.93,2.36,0.83
NIFTY BANK,19-MAY-2025,13.94,2.36,0.82
NIFTY BANK,20-MAY-2025,13.81,2.34,0.83
NIFTY BANK,21-MAY-2025,13.86,2.35,0.83
NIFTY BANK,22-MAY-2025,13.82,2.34,0.69
NIFTY BANK,23-MAY-2025,14.54,2.36,0.68
NIFTY BANK,26-MAY-2025,14.59,2.37,0.68
NIFTY BANK,27-MAY-2025,14.53,2.36,0.68
NIFTY BANK,28-MAY-2025,14.54,2.36,0.68
NIFTY BANK,29-MAY-2025,14.58,2.32,0.68
NIFTY BANK,30-MAY-2025,14.63,2.33,0.68
NIFTY BANK,02-JUN-2025,14.67,2.34,0.68
NIFTY BANK,03-JUN-2025,14.59,2.33,0.68
NIFTY BANK,04-JUN-2025,14.61,2.33,0.68
NIFTY BANK,05-JUN-2025,14.64,2.33,0.68
NIFTY BANK,06-JUN-2025,14.83,2.34,0.78
NIFTY BANK,09-JUN-2025,14.9,2.35,0.78
NIFTY BANK,10-JUN-2025,14.85,2.31,0.78
NIFTY BANK,11-JUN-2025,14.8,2.31,0.79
NIFTY BANK,12-JUN-2025,14.7,2.29,0.79
NIFTY BANK,13-JUN-2025,14.54,2.27,0.9
NIFTY BANK,16-JUN-2025,14.65,2.28,0.81
NIFTY BANK,17-JUN-2025,14.59,2.27,0.82
NIFTY BANK,18-JUN-2025,14.62,2.28,0.81
NIFTY BANK,19-JUN-2025,14.56,2.27,0.82
NIFTY BANK,20-JUN-2025,14.72,2.29,0.88
NIFTY BANK,23-JUN-2025,14.67,2.29,0.85
NIFTY BANK,24-JUN-2025,14.78,2.3,0.84
NIFTY BANK,25-JUN-2025,14.82,2.28,0.84
NIFTY BANK,26-JUN-2025,14.97,2.3,0.83
NIFTY BANK,27-JUN-2025,15.03,2.31,1.14
NIFTY BANK,30-JUN-2025,15.19,2.36,0.94
NIFTY BANK,01-JUL-2025,15.23,2.37,0.94
NIFTY BANK,02-JUL-2025,15.11,2.35,0.94
NIFTY BANK,03-JUL-2025,15.06,2.34,0.95
NIFTY BANK,04-JUL-2025,15.12,2.35,0.95
NIFTY BANK,07-JUL-2025,15.1,2.31,0.96
NIFTY BANK,08-JUL-2025,15.18,2.32,0.95
NIFTY BANK,09-JUL-2025,15.17,2.32,0.95
NIFTY BANK,10-JUL-2025,15.1,2.31,0.96
NIFTY BANK,11-JUL-2025,15.05,2.3,0.97
NIFTY BANK,14-JUL-2025,15.05,2.3,0.96
NIFTY BANK,15-JUL-2025,15.11,2.31,0.96
NIFTY BANK,16-JUL-2025,15.16,2.32,0.95
NIFTY BANK,17-JUL-2025,15.07,2.3,0.96
NIFTY BANK,18-JUL-2025,14.92,2.2,0.98
NIFTY BANK,21-JUL-2025,15.11,2.2,0.96
NIFTY BANK,22-JUL-2025,14.95,2.19,0.96
NIFTY BANK,23-JUL-2025,15.07,2.21,0.95
NIFTY BANK,24-JUL-2025,15.02,2.2,0.96
NIFTY BANK,25-JUL-2025,14.88,2.18,1.04
NIFTY BANK,28-JUL-2025,14.81,2.16,1.04
NIFTY BANK,29-JUL-2025,15.07,2.17,1.04
NIFTY BANK,30-JUL-2025,15.25,2.17,1.04
NIFTY BANK,31-JUL-2025,15.2,2.16,1.05
NIFTY BANK,01-AUG-2025,15.19,2.15,1.05
NIFTY BANK,04-AUG-2025,15.19,2.15,1.05
NIFTY BANK,04-AUG-2025,15.19,2.15,1.05
NIFTY BANK,05-AUG-2025,15.14,2.14,1.06
NIFTY BANK,06-AUG-2025,15.15,2.14,1.06
NIFTY BANK,07-AUG-2025,15.18,2.14,1.06
NIFTY BANK,08-AUG-2025,15.04,2.12,1.07
NIFTY BANK,11-AUG-2025,15.18,2.14,1.06
NIFTY BANK,12-AUG-2025,14.99,2.06,1.09
NIFTY BANK,13-AUG-2025,15.03,2.07,1.08
NIFTY BANK,14-AUG-2025,15.07,2.07,1.08
NIFTY BANK,18-AUG-2025,15.18,2.09,1.07
NIFTY BANK,19-AUG-2025,15.22,2.09,1.07
NIFTY BANK,20-AUG-2025,15.17,2.07,1.07
NIFTY BANK,21-AUG-2025,15.19,2.07,1.07
NIFTY BANK,22-AUG-2025,15.02,2.05,1.1
NIFTY BANK,25-AUG-2025,15.02,2.05,1.08
NIFTY BANK,26-AUG-2025,14.83,2.02,1.1
NIFTY BANK,28-AUG-2025,14.66,2,1.11
NIFTY BANK,29-AUG-2025,14.61,1.99,1.11
NIFTY BANK,01-SEP-2025,14.71,2,1.11
NIFTY BANK,02-SEP-2025,14.62,1.99,1.11
NIFTY BANK,03-SEP-2025,14.73,2.01,1.1
NIFTY BANK,04-SEP-2025,14.73,2.01,1.1
NIFTY BANK,05-SEP-2025,14.74,2.01,1.1
NIFTY BANK,08-SEP-2025,14.76,2.01,1.1
NIFTY BANK,09-SEP-2025,14.77,2.01,1.1
NIFTY BANK,10-SEP-2025,14.85,2.02,1.1
NIFTY BANK,11-SEP-2025,14.89,2.03,1.09
NIFTY BANK,12-SEP-2025,14.93,2.03,1.09
NIFTY BANK,15-SEP-2025,14.95,2.04,1.09
NIFTY BANK,16-SEP-2025,15.02,2.05,1.08
NIFTY BANK,17-SEP-2025,15.12,2.06,1.08
NIFTY BANK,18-SEP-2025,15.18,2.07,1.07
NIFTY BANK,19-SEP-2025,15.11,2.06,1.08
NIFTY BANK,22-SEP-2025,15.06,2.05,1.08
NIFTY BANK,23-SEP-2025,15.12,2.06,1.08
NIFTY BANK,24-SEP-2025,15.01,2.05,1.08
NIFTY BANK,25-SEP-2025,14.97,2.04,1.09
NIFTY BANK,26-SEP-2025,14.81,2.02,1.1
NIFTY BANK,29-SEP-2025,14.83,2.02,1.1
NIFTY BANK,30-SEP-2025,15.09,2.06,1.07
NIFTY BANK,01-OCT-2025,15.28,2.08,1.05
NIFTY BANK,03-OCT-2025,15.35,2.09,1.05
NIFTY BANK,06-OCT-2025,15.49,2.11,1.04
NIFTY BANK,07-OCT-2025,15.53,2.12,1.04
NIFTY BANK,08-OCT-2025,15.47,2.11,1.04
NIFTY BANK,09-OCT-2025,15.52,2.11,1.04
NIFTY BANK,10-OCT-2025,15.63,2.13,1.03
NIFTY BANK,13-OCT-2025,15.63,2.13,1.03
NIFTY BANK,14-OCT-2025,15.6,2.13,1.03
NIFTY BANK,15-OCT-2025,15.68,2.14,1.03
NIFTY BANK,16-OCT-2025,15.97,2.16,1.02
NIFTY BANK,17-OCT-2025,16.05,2.17,1.01
NIFTY BANK,20-OCT-2025,16.26,2.18,1.01
NIFTY BANK,21-OCT-2025,16.26,2.18,1.01
NIFTY BANK,23-OCT-2025,16.26,2.18,1.01
NIFTY BANK,24-OCT-2025,16.15,2.17,1.01
NIFTY BANK,27-OCT-2025,16.3,2.19,1
NIFTY BANK,28-OCT-2025,16.33,2.19,1
NIFTY BANK,29-OCT-2025,16.38,2.2,1
NIFTY BANK,30-OCT-2025,16.28,2.18,1.01
NIFTY BANK,31-OCT-2025,16.17,2.17,1.01
NIFTY BANK,03-NOV-2025,16.26,2.19,1
NIFTY BANK,04-NOV-2025,16.19,2.18,1.01
NIFTY BANK,06-NOV-2025,16.08,2.17,1.01
