Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY BANK,03-JAN-2022,22.92,2.69,0.33
NIFTY BANK,04-JAN-2022,23.19,2.72,0.33
NIFTY BANK,05-JAN-2022,23.73,2.79,0.32
NIFTY BANK,06-JAN-2022,23.6,2.77,0.32
NIFTY BANK,07-JAN-2022,23.75,2.79,0.32
NIFTY BANK,10-JAN-2022,24.14,2.83,0.32
NIFTY BANK,11-JAN-2022,24.2,2.84,0.32
NIFTY BANK,12-JAN-2022,24.38,2.86,0.31
NIFTY BANK,13-JAN-2022,24.21,2.84,0.31
NIFTY BANK,14-JAN-2022,24.15,2.84,0.32
NIFTY BANK,17-JAN-2022,24.05,2.83,0.32
NIFTY BANK,18-JAN-2022,23.72,2.82,0.32
NIFTY BANK,19-JAN-2022,23.61,2.81,0.32
NIFTY BANK,20-JAN-2022,23.49,2.8,0.32
NIFTY BANK,21-JAN-2022,23.32,2.78,0.32
NIFTY BANK,24-JAN-2022,22.93,2.73,0.33
NIFTY BANK,25-JAN-2022,23.14,2.79,0.32
NIFTY BANK,27-JAN-2022,22.59,2.81,0.32
NIFTY BANK,28-JAN-2022,22.36,2.79,0.32
NIFTY BANK,31-JAN-2022,22.48,2.81,0.32
NIFTY BANK,01-FEB-2022,22.53,2.85,0.31
NIFTY BANK,02-FEB-2022,23.01,2.91,0.31
NIFTY BANK,03-FEB-2022,22.82,2.88,0.31
NIFTY BANK,04-FEB-2022,22.69,2.87,0.31
NIFTY BANK,07-FEB-2022,22.23,2.81,0.32
NIFTY BANK,08-FEB-2022,21.83,2.81,0.32
NIFTY BANK,09-FEB-2022,22.16,2.85,0.31
NIFTY BANK,10-FEB-2022,22.39,2.88,0.31
NIFTY BANK,11-FEB-2022,22.11,2.85,0.31
NIFTY BANK,14-FEB-2022,21.18,2.73,0.33
NIFTY BANK,15-FEB-2022,21.91,2.82,0.32
NIFTY BANK,16-FEB-2022,21.78,2.81,0.32
NIFTY BANK,17-FEB-2022,21.54,2.77,0.32
NIFTY BANK,18-FEB-2022,21.58,2.78,0.32
NIFTY BANK,21-FEB-2022,21.63,2.79,0.32
NIFTY BANK,22-FEB-2022,21.45,2.76,0.32
NIFTY BANK,23-FEB-2022,21.46,2.76,0.32
NIFTY BANK,24-FEB-2022,20.22,2.6,0.34
NIFTY BANK,25-FEB-2022,20.91,2.69,0.33
NIFTY BANK,28-FEB-2022,20.78,2.68,0.33
NIFTY BANK,02-MAR-2022,20.3,2.61,0.34
NIFTY BANK,03-MAR-2022,20.06,2.58,0.35
NIFTY BANK,04-MAR-2022,19.75,2.54,0.35
NIFTY BANK,07-MAR-2022,18.87,2.43,0.37
NIFTY BANK,08-MAR-2022,19.03,2.45,0.37
NIFTY BANK,09-MAR-2022,19.41,2.5,0.36
NIFTY BANK,10-MAR-2022,19.79,2.55,0.35
NIFTY BANK,11-MAR-2022,19.83,2.55,0.35
NIFTY BANK,14-MAR-2022,20.27,2.61,0.34
NIFTY BANK,15-MAR-2022,20.1,2.59,0.35
NIFTY BANK,16-MAR-2022,20.52,2.64,0.34
NIFTY BANK,17-MAR-2022,20.91,2.69,0.33
NIFTY BANK,21-MAR-2022,20.67,2.66,0.34
NIFTY BANK,22-MAR-2022,20.86,2.69,0.33
NIFTY BANK,23-MAR-2022,20.75,2.67,0.34
NIFTY BANK,24-MAR-2022,20.39,2.63,0.34
NIFTY BANK,25-MAR-2022,20.32,2.62,0.34
NIFTY BANK,28-MAR-2022,20.5,2.64,0.34
NIFTY BANK,29-MAR-2022,20.57,2.65,0.34
NIFTY BANK,30-MAR-2022,20.85,2.69,0.33
NIFTY BANK,31-MAR-2022,20.51,2.71,0.33
NIFTY BANK,01-APR-2022,20.94,2.77,0.32
NIFTY BANK,04-APR-2022,21.78,2.88,0.31
NIFTY BANK,05-APR-2022,21.46,2.84,0.31
NIFTY BANK,06-APR-2022,21.22,2.8,0.32
NIFTY BANK,07-APR-2022,21.17,2.8,0.32
NIFTY BANK,08-APR-2022,21.28,2.81,0.32
NIFTY BANK,11-APR-2022,21.21,2.8,0.32
NIFTY BANK,12-APR-2022,21.28,2.81,0.32
NIFTY BANK,13-APR-2022,21.12,2.79,0.32
NIFTY BANK,18-APR-2022,20.71,2.74,0.32
NIFTY BANK,19-APR-2022,20.2,2.71,0.33
NIFTY BANK,20-APR-2022,20.18,2.7,0.33
NIFTY BANK,21-APR-2022,20.46,2.74,0.32
NIFTY BANK,22-APR-2022,20.03,2.68,0.33
NIFTY BANK,25-APR-2022,20.05,2.69,0.33
NIFTY BANK,26-APR-2022,19.74,2.71,0.33
NIFTY BANK,27-APR-2022,19.54,2.68,0.33
NIFTY BANK,28-APR-2022,19.75,2.71,0.33
NIFTY BANK,29-APR-2022,19.53,2.69,0.33
NIFTY BANK,02-MAY-2022,19.29,2.69,0.33
NIFTY BANK,04-MAY-2022,18.65,2.63,0.34
NIFTY BANK,05-MAY-2022,18.64,2.62,0.34
NIFTY BANK,06-MAY-2022,18.3,2.58,0.35
NIFTY BANK,09-MAY-2022,18.13,2.55,0.35
NIFTY BANK,10-MAY-2022,18.07,2.57,0.35
NIFTY BANK,11-MAY-2022,18.18,2.58,0.34
NIFTY BANK,12-MAY-2022,17.57,2.5,0.68
NIFTY BANK,13-MAY-2022,17.36,2.47,0.69
NIFTY BANK,16-MAY-2022,17.64,2.5,0.68
NIFTY BANK,17-MAY-2022,17.2,2.55,0.67
NIFTY BANK,18-MAY-2022,17.13,2.54,0.67
NIFTY BANK,19-MAY-2022,16.7,2.48,0.69
NIFTY BANK,20-MAY-2022,17.19,2.55,0.67
NIFTY BANK,23-MAY-2022,17.17,2.55,0.67
NIFTY BANK,24-MAY-2022,17.19,2.55,0.67
NIFTY BANK,25-MAY-2022,17.22,2.56,0.84
NIFTY BANK,26-MAY-2022,17.6,2.61,0.82
NIFTY BANK,27-MAY-2022,17.86,2.65,0.81
NIFTY BANK,30-MAY-2022,17.96,2.67,0.8
NIFTY BANK,31-MAY-2022,17.79,2.64,0.81
NIFTY BANK,01-JUN-2022,17.86,2.65,0.81
NIFTY BANK,02-JUN-2022,17.86,2.65,0.81
NIFTY BANK,03-JUN-2022,17.69,2.63,0.72
NIFTY BANK,06-JUN-2022,17.7,2.63,0.72
NIFTY BANK,07-JUN-2022,17.55,2.61,0.73
NIFTY BANK,08-JUN-2022,17.52,2.6,0.73
NIFTY BANK,09-JUN-2022,17.59,2.61,0.72
NIFTY BANK,10-JUN-2022,17.29,2.57,0.74
NIFTY BANK,13-JUN-2022,16.75,2.49,0.76
NIFTY BANK,14-JUN-2022,16.7,2.48,0.76
NIFTY BANK,15-JUN-2022,16.72,2.48,0.76
NIFTY BANK,16-JUN-2022,16.35,2.43,0.78
NIFTY BANK,17-JUN-2022,16.42,2.44,0.83
NIFTY BANK,20-JUN-2022,16.39,2.43,0.83
NIFTY BANK,21-JUN-2022,16.64,2.47,0.82
NIFTY BANK,22-JUN-2022,16.47,2.45,0.84
NIFTY BANK,23-JUN-2022,16.61,2.47,0.84
NIFTY BANK,24-JUN-2022,16.86,2.5,0.82
NIFTY BANK,27-JUN-2022,16.95,2.52,0.82
NIFTY BANK,28-JUN-2022,16.87,2.51,0.82
NIFTY BANK,29-JUN-2022,16.68,2.48,0.7
NIFTY BANK,30-JUN-2022,16.65,2.46,0.69
NIFTY BANK,01-JUL-2022,16.7,2.46,0.67
NIFTY BANK,04-JUL-2022,16.9,2.49,0.67
NIFTY BANK,05-JUL-2022,16.84,2.48,0.67
NIFTY BANK,06-JUL-2022,17.1,2.52,0.66
NIFTY BANK,07-JUL-2022,17.39,2.57,0.66
NIFTY BANK,08-JUL-2022,17.49,2.45,0.66
NIFTY BANK,11-JUL-2022,17.67,2.41,0.65
NIFTY BANK,12-JUL-2022,17.5,2.39,0.66
NIFTY BANK,13-JUL-2022,17.35,2.37,0.67
NIFTY BANK,14-JUL-2022,17.26,2.36,0.67
NIFTY BANK,15-JUL-2022,17.27,2.36,0.67
NIFTY BANK,18-JUL-2022,17.53,2.4,0.66
NIFTY BANK,19-JUL-2022,17.71,2.43,0.68
NIFTY BANK,20-JUL-2022,17.66,2.45,0.68
NIFTY BANK,21-JUL-2022,17.77,2.46,0.67
NIFTY BANK,22-JUL-2022,17.89,2.5,0.66
NIFTY BANK,25-JUL-2022,17.87,2.5,0.66
NIFTY BANK,26-JUL-2022,17.56,2.46,0.67
NIFTY BANK,27-JUL-2022,17.06,2.49,0.66
NIFTY BANK,28-JUL-2022,17.33,2.53,0.65
NIFTY BANK,29-JUL-2022,17.39,2.54,0.59
NIFTY BANK,01-AUG-2022,17.64,2.56,0.58
NIFTY BANK,02-AUG-2022,17.48,2.57,0.58
NIFTY BANK,03-AUG-2022,17.47,2.57,0.58
NIFTY BANK,04-AUG-2022,17.36,2.55,0.58
NIFTY BANK,05-AUG-2022,17.43,2.56,0.58
NIFTY BANK,08-AUG-2022,17.58,2.59,0.72
NIFTY BANK,10-AUG-2022,17.6,2.59,0.72
NIFTY BANK,11-AUG-2022,17.87,2.57,0.75
NIFTY BANK,12-AUG-2022,17.94,2.56,0.75
NIFTY BANK,16-AUG-2022,18.03,2.57,0.75
NIFTY BANK,17-AUG-2022,18.14,2.58,0.72
NIFTY BANK,18-AUG-2022,18.22,2.57,0.71
NIFTY BANK,19-AUG-2022,17.92,2.52,0.72
NIFTY BANK,22-AUG-2022,17.6,2.48,0.74
NIFTY BANK,23-AUG-2022,17.78,2.51,0.73
NIFTY BANK,24-AUG-2022,17.94,2.53,0.72
NIFTY BANK,25-AUG-2022,17.9,2.52,0.73
NIFTY BANK,26-AUG-2022,17.92,2.52,0.72
NIFTY BANK,29-AUG-2022,17.59,2.48,0.74
NIFTY BANK,30-AUG-2022,18.2,2.56,0.71
NIFTY BANK,01-SEP-2022,18.09,2.55,0.72
NIFTY BANK,02-SEP-2022,18.14,2.56,0.72
NIFTY BANK,05-SEP-2022,18.32,2.58,0.71
NIFTY BANK,06-SEP-2022,18.26,2.57,0.71
NIFTY BANK,07-SEP-2022,18.16,2.56,0.71
NIFTY BANK,08-SEP-2022,18.51,2.61,0.7
NIFTY BANK,09-SEP-2022,18.6,2.62,0.7
NIFTY BANK,12-SEP-2022,18.67,2.63,0.7
NIFTY BANK,13-SEP-2022,18.81,2.65,0.69
NIFTY BANK,14-SEP-2022,19.06,2.69,0.68
NIFTY BANK,15-SEP-2022,18.97,2.67,0.68
NIFTY BANK,16-SEP-2022,18.77,2.64,0.69
NIFTY BANK,19-SEP-2022,18.83,2.65,0.69
NIFTY BANK,20-SEP-2022,19.09,2.69,0.68
NIFTY BANK,21-SEP-2022,18.96,2.67,0.68
NIFTY BANK,22-SEP-2022,18.7,2.64,0.69
NIFTY BANK,23-SEP-2022,18.2,2.56,0.71
NIFTY BANK,26-SEP-2022,17.77,2.5,0.73
NIFTY BANK,27-SEP-2022,17.65,2.49,0.74
NIFTY BANK,28-SEP-2022,17.38,2.45,0.75
NIFTY BANK,29-SEP-2022,17.33,2.44,0.75
NIFTY BANK,30-SEP-2022,17.97,2.55,0.73
NIFTY BANK,03-OCT-2022,17.69,2.51,0.74
NIFTY BANK,04-OCT-2022,18.19,2.58,0.72
NIFTY BANK,06-OCT-2022,18.27,2.59,0.71
NIFTY BANK,07-OCT-2022,18.22,2.58,0.72
NIFTY BANK,10-OCT-2022,18.18,2.58,0.72
NIFTY BANK,11-OCT-2022,18.01,2.55,0.72
NIFTY BANK,12-OCT-2022,18.2,2.58,0.72
NIFTY BANK,13-OCT-2022,17.97,2.55,0.73
NIFTY BANK,14-OCT-2022,18.28,2.59,0.71
NIFTY BANK,17-OCT-2022,18.57,2.63,0.7
NIFTY BANK,18-OCT-2022,18.47,2.66,0.7
NIFTY BANK,19-OCT-2022,18.49,2.66,0.7
NIFTY BANK,20-OCT-2022,18.21,2.64,0.7
NIFTY BANK,21-OCT-2022,18.52,2.69,0.69
NIFTY BANK,24-OCT-2022,18.76,2.72,0.68
NIFTY BANK,25-OCT-2022,17.98,2.71,0.68
NIFTY BANK,27-OCT-2022,18.06,2.72,0.68
