Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY BANK,28-OCT-2022,17.93,2.7,0.68
NIFTY BANK,31-OCT-2022,18.07,2.72,0.68
NIFTY BANK,01-NOV-2022,17.7,2.72,0.68
NIFTY BANK,02-NOV-2022,17.67,2.71,0.68
NIFTY BANK,03-NOV-2022,17.74,2.72,0.68
NIFTY BANK,04-NOV-2022,17.72,2.72,0.68
NIFTY BANK,07-NOV-2022,17.41,2.75,0.67
NIFTY BANK,09-NOV-2022,17.45,2.76,0.67
NIFTY BANK,10-NOV-2022,17.38,2.74,0.67
NIFTY BANK,11-NOV-2022,17.6,2.78,0.67
NIFTY BANK,14-NOV-2022,17.57,2.77,0.67
NIFTY BANK,15-NOV-2022,17.7,2.79,0.66
NIFTY BANK,16-NOV-2022,17.77,2.81,0.66
NIFTY BANK,17-NOV-2022,17.73,2.8,0.66
NIFTY BANK,18-NOV-2022,17.72,2.8,0.66
NIFTY BANK,21-NOV-2022,17.69,2.79,0.66
NIFTY BANK,22-NOV-2022,17.73,2.8,0.66
NIFTY BANK,23-NOV-2022,17.85,2.82,0.66
NIFTY BANK,24-NOV-2022,17.99,2.84,0.65
NIFTY BANK,25-NOV-2022,17.95,2.83,0.65
NIFTY BANK,28-NOV-2022,17.97,2.84,0.65
NIFTY BANK,29-NOV-2022,17.98,2.84,0.65
NIFTY BANK,30-NOV-2022,18.06,2.85,0.65
NIFTY BANK,01-DEC-2022,18.07,2.85,0.65
NIFTY BANK,02-DEC-2022,18,2.84,0.65
NIFTY BANK,05-DEC-2022,18.1,2.86,0.65
NIFTY BANK,06-DEC-2022,18.02,2.84,0.65
NIFTY BANK,07-DEC-2022,18,2.84,0.65
NIFTY BANK,08-DEC-2022,18.21,2.88,0.64
NIFTY BANK,09-DEC-2022,18.22,2.88,0.64
NIFTY BANK,12-DEC-2022,18.26,2.88,0.64
NIFTY BANK,13-DEC-2022,18.35,2.9,0.64
NIFTY BANK,14-DEC-2022,18.4,2.91,0.64
NIFTY BANK,15-DEC-2022,18.17,2.87,0.65
NIFTY BANK,16-DEC-2022,18.05,2.85,0.65
NIFTY BANK,19-DEC-2022,18.13,2.86,0.65
NIFTY BANK,20-DEC-2022,18.11,2.86,0.65
NIFTY BANK,21-DEC-2022,17.8,2.81,0.66
NIFTY BANK,22-DEC-2022,17.71,2.8,0.66
NIFTY BANK,23-DEC-2022,17.4,2.75,0.67
NIFTY BANK,26-DEC-2022,17.8,2.81,0.66
NIFTY BANK,27-DEC-2022,17.9,2.83,0.65
NIFTY BANK,28-DEC-2022,17.89,2.82,0.66
NIFTY BANK,29-DEC-2022,18.06,2.85,0.65
NIFTY BANK,30-DEC-2022,18.08,2.83,0.66
