Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY BANK,02-JAN-2023,18.17,2.85,0.66
NIFTY BANK,03-JAN-2023,18.27,2.86,0.66
NIFTY BANK,04-JAN-2023,18.07,2.83,0.66
NIFTY BANK,05-JAN-2023,17.92,2.81,0.67
NIFTY BANK,06-JAN-2023,17.75,2.78,0.68
NIFTY BANK,09-JAN-2023,17.91,2.81,0.67
NIFTY BANK,10-JAN-2023,17.67,2.77,0.68
NIFTY BANK,11-JAN-2023,17.76,2.78,0.67
NIFTY BANK,12-JAN-2023,17.7,2.77,0.68
NIFTY BANK,13-JAN-2023,17.82,2.79,0.67
NIFTY BANK,16-JAN-2023,17.53,2.78,0.68
NIFTY BANK,17-JAN-2023,17.48,2.78,0.67
NIFTY BANK,18-JAN-2023,17.58,2.8,0.67
NIFTY BANK,19-JAN-2023,17.37,2.79,0.67
NIFTY BANK,20-JAN-2023,17.43,2.8,0.67
NIFTY BANK,23-JAN-2023,17.28,2.82,0.67
NIFTY BANK,24-JAN-2023,17.01,2.82,0.67
NIFTY BANK,25-JAN-2023,16.58,2.75,0.68
NIFTY BANK,27-JAN-2023,16.06,2.66,0.71
NIFTY BANK,30-JAN-2023,16.08,2.66,0.71
NIFTY BANK,31-JAN-2023,16.21,2.68,0.7
NIFTY BANK,01-FEB-2023,16.16,2.67,0.7
NIFTY BANK,02-FEB-2023,16.22,2.68,0.7
NIFTY BANK,03-FEB-2023,16.55,2.74,0.69
NIFTY BANK,06-FEB-2023,16.5,2.73,0.69
NIFTY BANK,07-FEB-2023,16.09,2.73,0.69
NIFTY BANK,08-FEB-2023,16.11,2.74,0.69
NIFTY BANK,09-FEB-2023,16.12,2.74,0.69
NIFTY BANK,10-FEB-2023,16.12,2.74,0.69
NIFTY BANK,13-FEB-2023,16.01,2.72,0.69
NIFTY BANK,14-FEB-2023,16.15,2.75,0.68
NIFTY BANK,15-FEB-2023,16.18,2.75,0.68
NIFTY BANK,16-FEB-2023,16.15,2.74,0.68
NIFTY BANK,17-FEB-2023,15.95,2.71,0.69
NIFTY BANK,20-FEB-2023,15.79,2.68,0.7
NIFTY BANK,21-FEB-2023,15.77,2.68,0.7
NIFTY BANK,22-FEB-2023,15.51,2.64,0.71
NIFTY BANK,23-FEB-2023,15.51,2.64,0.71
NIFTY BANK,24-FEB-2023,15.48,2.63,0.71
NIFTY BANK,27-FEB-2023,15.63,2.66,0.71
NIFTY BANK,28-FEB-2023,15.62,2.65,0.71
NIFTY BANK,01-MAR-2023,15.78,2.68,0.7
NIFTY BANK,02-MAR-2023,15.66,2.66,0.71
NIFTY BANK,03-MAR-2023,16,2.72,0.69
NIFTY BANK,06-MAR-2023,16.04,2.73,0.69
NIFTY BANK,08-MAR-2023,16.12,2.74,0.69
