Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,49900.00,4.50,4.80,0.05,0.15,0.05,54635.85,1896.00,33114.85,1.21,5915.00,1470.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,62100.00,-,-,-,4790.70,-,54635.85,-,-,-,-,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,51400.00,5.00,5.80,0.05,0.30,0.10,54635.85,4066.00,73150.34,3.00,25375.00,8260.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,55300.00,628.00,789.90,500.00,673.95,662.90,54635.85,15142.00,296508.10,3434.69,125895.00,-24430.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,51500.00,2.75,15.05,0.05,0.20,0.05,54635.85,96245.00,1734892.63,76.50,444465.00,162190.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,61500.00,-,-,-,6775.00,6775.00,54635.85,-,-,-,350.00,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,52900.00,2.65,5.80,0.05,0.15,0.05,54635.85,40311.00,746392.69,34.52,74725.00,-1645.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,53600.00,9.05,9.05,0.05,0.35,0.05,54635.85,206295.00,3870348.87,254.67,203735.00,-1085.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,48800.00,3.90,3.90,0.05,0.20,0.05,54635.85,2357.00,40258.81,1.25,4690.00,3080.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,61200.00,-,-,-,4126.75,-,54635.85,-,-,-,-,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,47000.00,2.00,3.50,0.20,0.30,0.20,54635.85,5509.00,90625.97,2.92,181545.00,4130.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,56600.00,1970.00,2054.80,1834.45,1966.55,1966.55,54635.85,28.00,573.43,18.75,7630.00,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,48500.00,2.05,3.65,0.05,0.20,0.05,54635.85,2732.00,46377.04,1.34,13685.00,-19425.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,55200.00,545.20,692.95,413.90,568.60,565.10,54635.85,27486.00,536269.47,5239.95,105525.00,-40320.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,59300.00,-,-,-,2885.00,-,54635.85,-,-,-,-,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,53700.00,10.40,10.60,0.05,0.50,0.10,54635.85,269340.00,5062670.00,424.70,215040.00,-47215.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,49300.00,1.50,2.75,0.05,0.30,0.05,54635.85,1346.00,23225.97,0.74,2835.00,1085.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,56800.00,2104.40,2200.00,2070.30,2190.50,2171.40,54635.85,6.00,123.77,4.49,3850.00,-70.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,57600.00,3003.20,3003.20,3003.20,3003.20,3003.20,54635.85,1.00,21.21,1.05,455.00,-35.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,55500.00,812.30,990.00,690.00,873.50,862.85,54635.85,15267.00,301084.58,4523.10,225425.00,-92800.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,43500.00,1.95,2.15,0.05,0.15,0.30,54635.85,761.00,11586.51,0.28,13405.00,-6895.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,58300.00,3757.95,3757.95,3744.80,3744.80,3744.80,54635.85,3.00,65.15,3.94,140.00,-35.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,50800.00,3.00,5.85,0.05,0.15,0.05,54635.85,14465.00,257202.60,14.90,14245.00,-7560.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,64500.00,9935.00,9955.00,9750.00,9800.00,9800.00,54635.85,28.00,728.43,96.33,875.00,-665.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,54000.00,13.95,21.70,0.05,0.50,0.05,54635.85,1470631.00,27799221.81,4295.91,873050.00,-995270.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,58900.00,-,-,-,2652.80,-,54635.85,-,-,-,-,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,58800.00,4253.30,4253.35,4253.30,4253.35,4253.35,54635.85,11.00,242.76,16.38,420.00,350.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,60200.00,-,-,-,4750.90,4750.90,54635.85,-,-,-,385.00,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,54300.00,32.25,64.35,0.05,0.50,0.05,54635.85,2010607.00,38224782.67,13196.64,620550.00,-158690.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,59700.00,-,-,-,3127.75,-,54635.85,-,-,-,-,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,50500.00,2.90,3.90,0.05,0.20,0.05,54635.85,37458.00,662097.41,27.26,159845.00,-71575.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,53900.00,9.95,15.60,0.05,0.45,0.10,54635.85,487885.00,9205076.76,1126.23,170485.00,-167545.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,45000.00,1.00,4.35,0.20,0.30,0.25,54635.85,8999.00,141738.42,4.17,205380.00,-49805.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,55100.00,448.35,598.45,328.30,468.70,463.15,54635.85,51633.00,1003901.60,8159.19,70175.00,-32725.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,62200.00,-,-,-,4866.85,-,54635.85,-,-,-,-,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,59400.00,4848.30,4848.30,4848.30,4848.30,4848.30,54635.85,1.00,22.49,1.70,70.00,35.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,PE,58100.00,3546.30,3546.60,3439.85,3448.10,3439.85,54635.85,5.00,107.81,6.13,210.00,35.00,54635.85
