Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,55000.00,1250.00,2030.00,1224.05,1954.60,1968.90,1954.60,9099.00,77406.05,2339.30,99825.00,-34950.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,55100.00,1441.15,2085.00,1343.25,2054.45,2046.80,2054.45,202.00,1721.51,51.98,26010.00,-975.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,55200.00,1499.95,2160.00,1498.60,2152.45,2152.45,2152.45,482.00,4128.17,137.21,29565.00,-1470.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,55300.00,1733.00,2275.40,1730.15,2256.60,2242.70,2256.60,148.00,1274.09,46.43,6915.00,-720.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,55400.00,1734.95,2385.40,1734.95,2356.20,2345.30,2356.20,289.00,2491.24,89.65,3150.00,-540.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,55500.00,1774.95,2603.30,1754.85,2443.95,2447.00,2443.95,521.00,4508.14,170.82,8235.00,-2685.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,55600.00,2144.85,2550.00,2144.85,2550.00,2550.00,2550.00,11.00,95.81,4.07,900.00,30.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,55700.00,1940.00,2705.15,1940.00,2676.80,2655.80,2676.80,12.00,104.58,4.32,225.00,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,55800.00,2299.85,2578.55,2270.00,2578.55,2578.55,2811.05,9.00,78.66,3.33,1005.00,15.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,55900.00,-,-,-,1907.50,1905.00,2911.05,-,-,-,315.00,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,56000.00,2418.85,3000.00,2393.35,2944.00,2954.80,2944.00,546.00,4818.85,232.45,35985.00,2220.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,56100.00,-,-,-,5130.45,-,3111.00,-,-,-,-,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,56200.00,-,-,-,2251.85,2233.25,3210.95,-,-,-,45.00,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,56300.00,-,-,-,5311.65,-,3310.95,-,-,-,-,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,56400.00,-,-,-,5402.85,-,3410.95,-,-,-,-,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,56500.00,-,-,-,2528.20,2547.85,3510.90,-,-,-,30450.00,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,56600.00,-,-,-,5586.30,-,3610.90,-,-,-,-,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,56700.00,-,-,-,5678.50,-,3710.90,-,-,-,-,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,56800.00,-,-,-,5771.05,-,3810.85,-,-,-,-,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,56900.00,-,-,-,5863.90,-,3910.85,-,-,-,-,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,57000.00,3683.05,3965.00,3683.05,3965.00,3965.00,4010.80,17.00,155.15,9.80,525.00,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,57100.00,-,-,-,6050.50,-,4110.80,-,-,-,-,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,57200.00,-,-,-,6144.20,-,4210.80,-,-,-,-,-,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,53800.00,249.00,860.75,214.00,778.10,794.70,778.10,855130.00,6960311.29,59412.19,319785.00,-501825.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,53900.00,261.15,953.85,261.15,874.85,875.85,874.85,438385.00,3579223.25,34880.53,381495.00,-475065.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,47800.00,3.85,4.80,0.70,1.25,1.25,1.25,13096.00,93902.28,3.96,12615.00,-4695.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,50000.00,3.90,6.15,1.65,2.10,1.80,2.10,569240.00,4269575.88,275.88,1556895.00,217440.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,51900.00,10.20,38.10,5.00,13.35,11.85,13.35,930116.00,7243263.53,2310.47,258390.00,133935.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,54000.00,350.00,1053.20,301.20,975.35,980.00,975.35,642922.00,5271519.59,63851.39,753435.00,-1437450.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,47900.00,2.05,4.50,0.85,1.40,1.35,1.40,7267.00,52215.80,2.40,3480.00,-5175.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,48000.00,2.70,17.40,0.90,1.30,1.05,1.30,140972.00,1015040.26,41.86,418590.00,-90825.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,50100.00,5.30,6.65,1.85,2.40,1.90,2.40,54643.00,410672.00,29.86,71460.00,-5745.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,50200.00,0.65,6.95,0.65,2.25,4.20,2.25,84430.00,635803.67,45.77,310470.00,16875.00,-
BANKNIFTY,30-Sep-2024,01-Oct-2024,PE,52000.00,7.00,44.20,5.95,16.05,16.00,16.05,2928246.00,22848912.12,8593.32,2253540.00,303030.00,-
