Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,38600.00,795.20,1210.10,698.90,1170.05,1175.00,37425.10,1651.00,16293.06,360.91,4675.00,-6550.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,37700.00,130.00,320.00,44.90,264.00,276.00,37425.10,3837281.00,36292313.68,125940.26,218350.00,-689175.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,39800.00,1948.05,2271.20,1948.05,2271.20,2271.20,37425.10,7.00,73.39,3.74,175.00,-50.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,39900.00,-,-,-,2143.50,2143.50,37425.10,-,-,-,200.00,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,41200.00,-,-,-,3586.45,-,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,41300.00,-,-,-,3677.95,-,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,41400.00,-,-,-,3727.65,3727.65,37425.10,-,-,-,25.00,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,41500.00,-,-,-,4423.20,4423.20,37425.10,-,-,-,50.00,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,41600.00,-,-,-,3927.45,3927.45,37425.10,-,-,-,25.00,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,38700.00,895.00,1298.05,804.45,1286.95,1273.40,37425.10,590.00,5861.54,153.29,10250.00,-2850.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,37800.00,168.05,420.00,71.10,363.30,375.00,37425.10,2735872.00,25976723.38,122732.98,381650.00,-479400.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,40500.00,2833.05,3030.00,2695.30,3030.00,3030.00,37425.10,12.00,129.80,8.30,2450.00,-50.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,40600.00,-,-,-,2528.50,2528.50,37425.10,-,-,-,550.00,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,38800.00,1050.00,1387.10,904.95,1367.95,1374.45,37425.10,500.00,4985.55,135.55,4175.00,-3200.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,37900.00,205.95,520.00,110.40,462.05,474.30,37425.10,1050880.00,10022199.28,65111.28,215175.00,-343900.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,41700.00,-,-,-,4048.95,-,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,41800.00,-,-,-,3874.00,3874.00,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,41900.00,-,-,-,3716.55,-,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,38900.00,1107.55,1497.30,996.20,1457.90,1474.70,37425.10,227.00,2276.44,68.86,3625.00,-2100.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,40000.00,2325.00,2590.00,2095.70,2563.00,2573.60,37425.10,459.00,4860.79,270.79,7150.00,-2725.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,40700.00,-,-,-,4057.30,-,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,40100.00,-,-,-,1907.25,1907.25,37425.10,-,-,-,50.00,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,38100.00,361.55,712.75,237.00,660.95,684.90,37425.10,191723.00,1845407.59,19246.01,56825.00,-69150.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,31500.00,1.90,3.00,0.05,0.10,0.05,37425.10,5252.00,41361.08,1.58,20950.00,-17000.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,30900.00,-,-,-,975.25,-,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,31600.00,1.00,1.20,0.05,0.55,0.55,37425.10,383.00,3025.73,0.03,800.00,-700.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,31700.00,-,-,-,1218.30,-,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,29000.00,1.05,3.00,0.05,0.05,0.05,37425.10,3483.00,25252.51,0.76,56475.00,35750.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,31000.00,1.75,3.05,0.05,0.10,0.05,37425.10,7263.00,56289.51,1.26,63900.00,-6225.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,27000.00,0.65,2.80,0.05,0.10,0.05,37425.10,1224.00,8262.29,0.29,5850.00,3975.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,31100.00,-,-,-,1032.95,-,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,30000.00,1.45,1.90,0.05,0.05,0.05,37425.10,11905.00,89289.09,1.59,108400.00,30975.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,31200.00,-,-,-,1062.60,-,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,30400.00,1.75,2.40,0.05,0.20,0.20,37425.10,1012.00,7691.40,0.20,8525.00,2875.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,31300.00,-,-,-,1092.85,-,37425.10,-,-,-,-,-,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,28000.00,1.05,1.80,0.05,0.15,0.05,37425.10,2451.00,17157.38,0.38,30775.00,3650.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,30500.00,1.90,2.40,0.05,0.10,0.10,37425.10,6143.00,46841.31,0.94,45625.00,22650.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,30600.00,1.85,2.50,0.05,0.10,0.05,37425.10,288.00,2203.24,0.04,2900.00,2525.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,31400.00,1.25,1.25,0.15,0.15,0.15,37425.10,297.00,2331.46,0.01,8025.00,7425.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,30700.00,1.30,3.00,0.05,0.10,0.20,37425.10,478.00,3668.74,0.09,2975.00,2225.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,34900.00,3.60,4.55,0.05,0.15,0.05,37425.10,7828.00,68302.81,3.51,13675.00,-14525.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,36800.00,10.00,12.85,0.05,0.40,0.05,37425.10,413332.00,3803152.37,497.97,418125.00,31400.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,37300.00,57.85,60.00,0.05,2.20,0.05,37425.10,3352432.00,31274532.78,13104.38,1003325.00,356975.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,35900.00,4.50,5.10,0.05,0.15,0.05,37425.10,46561.00,417914.73,29.75,70900.00,-9875.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,36900.00,20.00,20.00,0.05,0.40,0.05,37425.10,510284.00,4708090.95,721.05,431425.00,128225.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,37600.00,109.15,225.00,28.60,162.85,174.20,37425.10,4463434.00,42063406.73,107127.13,213350.00,-714325.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,35000.00,2.65,4.55,0.05,0.15,0.05,37425.10,208458.00,1824111.98,104.48,750675.00,-226575.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,35100.00,3.55,4.55,0.05,0.15,0.10,37425.10,10222.00,89703.13,5.08,21925.00,-5575.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,33100.00,1.95,3.35,0.05,0.15,0.05,37425.10,979.00,8101.39,0.17,7950.00,4700.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,32200.00,2.15,3.30,0.05,0.10,0.10,37425.10,986.00,7937.54,0.24,4325.00,2500.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,34200.00,3.50,4.30,0.05,0.10,0.05,37425.10,2651.00,22667.01,0.96,16550.00,-3975.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,32400.00,2.10,3.00,0.05,0.05,0.05,37425.10,760.00,6156.24,0.24,14600.00,275.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,33500.00,3.80,3.80,0.05,0.05,0.05,37425.10,29134.00,244007.88,10.63,167450.00,-16475.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,33200.00,2.00,3.35,0.05,0.20,0.20,37425.10,1097.00,9105.34,0.24,3500.00,1000.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,34300.00,3.05,4.25,0.05,0.10,0.05,37425.10,3880.00,33272.61,1.61,12350.00,-900.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,32500.00,2.15,3.20,0.05,0.05,0.05,37425.10,15421.00,125299.27,3.65,138300.00,-19275.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,33300.00,2.85,3.00,0.05,0.25,0.40,37425.10,832.00,6926.56,0.16,2350.00,125.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,33600.00,3.15,4.00,0.05,0.15,0.10,37425.10,2428.00,20395.85,0.65,11950.00,5850.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,33700.00,3.00,5.00,0.05,0.20,0.15,37425.10,3784.00,31881.44,1.24,11400.00,2125.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,32600.00,1.30,2.85,0.05,0.05,0.05,37425.10,817.00,6658.74,0.19,5275.00,2225.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,33400.00,2.40,3.45,0.05,0.20,0.05,37425.10,1097.00,9160.23,0.28,9200.00,1375.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,32700.00,2.25,3.65,0.05,0.30,0.30,37425.10,382.00,3122.93,0.08,1925.00,-1200.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,33800.00,4.00,5.35,0.05,0.15,0.10,37425.10,5538.00,46798.24,2.14,33950.00,-200.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,34600.00,3.20,4.35,0.05,0.10,0.05,37425.10,5335.00,46149.91,2.16,28825.00,200.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,31800.00,1.50,1.65,0.05,0.05,0.05,37425.10,112.00,890.42,0.02,3025.00,-75.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,34400.00,3.40,4.25,0.05,0.10,0.05,37425.10,4350.00,37412.02,2.02,19150.00,-5600.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,32800.00,4.00,4.00,0.05,0.10,0.10,37425.10,680.00,5576.14,0.14,1800.00,-1850.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,33900.00,3.00,4.05,0.05,0.10,0.10,37425.10,2609.00,22112.14,0.86,10450.00,1150.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,34500.00,2.85,4.25,0.05,0.10,0.05,37425.10,86930.00,749814.62,43.37,410150.00,-121875.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,31900.00,1.80,2.25,0.05,0.05,0.05,37425.10,836.00,6667.18,0.08,2450.00,725.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,34700.00,3.70,4.55,0.05,0.15,0.05,37425.10,8007.00,69464.64,3.92,21350.00,-7425.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,32900.00,2.90,3.75,0.05,0.10,0.10,37425.10,603.00,4959.89,0.22,6600.00,3075.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,34000.00,2.75,3.95,0.05,0.05,0.05,37425.10,94540.00,803624.34,34.34,459775.00,-148225.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,32000.00,2.05,3.90,0.05,0.05,0.05,37425.10,15973.00,127788.22,4.22,124575.00,-58800.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,33000.00,2.40,3.50,0.05,0.05,0.05,37425.10,29332.00,241999.17,10.17,214875.00,-28625.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,34100.00,3.40,4.00,0.05,0.10,0.05,37425.10,2219.00,18917.71,0.73,19075.00,-4675.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,32300.00,0.70,3.90,0.05,0.10,0.05,37425.10,1022.00,8252.88,0.23,11375.00,-2150.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,32100.00,2.15,3.20,0.05,0.05,0.05,37425.10,1009.00,8097.47,0.24,12350.00,4375.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,24000.00,0.60,1.40,0.05,0.05,0.05,37425.10,5385.00,32310.46,0.46,84975.00,38275.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,25000.00,0.85,1.05,0.05,0.15,0.05,37425.10,3154.00,19712.79,0.29,35650.00,-7225.00,34684.00
BANKNIFTY,30-Sep-2021,30-Sep-2021,PE,25500.00,-,-,-,3650.00,-,37425.10,-,-,-,-,-,34684.00
