Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,59000.00,7690.00,7690.00,7600.00,7610.00,7620.00,7610.00,3.00,29.99,3.44,150.00,15.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,54800.00,-,-,-,3230.80,3230.80,3726.45,-,-,-,11880.00,-,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,59500.00,-,-,-,6658.95,6658.95,8322.05,-,-,-,15.00,-,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,54900.00,-,-,-,3822.75,3822.75,3819.35,-,-,-,7500.00,-,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,60000.00,8799.95,8814.65,8576.10,8593.00,8584.00,8593.00,1322.00,13619.63,1721.63,53070.00,-4545.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,55000.00,3939.95,4004.00,3695.00,3731.55,3700.75,3731.55,1017.00,8969.93,579.68,692055.00,-3450.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,60500.00,-,-,-,8543.60,8543.60,9316.35,-,-,-,300.00,-,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,61000.00,9710.00,9710.00,9570.00,9582.10,9574.90,9582.10,13.00,137.71,18.76,3510.00,195.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,55100.00,-,-,-,3527.50,3527.50,4006.50,-,-,-,60.00,-,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,55200.00,-,-,-,3484.90,3484.90,4100.70,-,-,-,15.00,-,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,47000.00,60.90,68.80,53.15,57.75,57.60,57.75,147474.00,1041006.83,1315.13,1030620.00,59760.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,47100.00,62.00,73.70,57.05,61.75,61.90,61.75,19377.00,137084.96,186.46,59850.00,18615.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,47200.00,74.95,79.90,61.80,67.10,67.95,67.10,19951.00,141460.65,207.57,123480.00,5640.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,47300.00,72.00,85.60,66.30,71.35,70.50,71.35,10259.00,72901.54,113.93,34005.00,3120.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,47400.00,88.95,92.00,71.00,79.35,72.45,79.35,18439.00,131321.91,220.62,71355.00,50295.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,48200.00,120.65,164.00,120.65,132.95,133.00,132.95,17256.00,125125.75,364.87,66420.00,18615.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,48300.00,158.25,175.90,135.95,143.90,142.85,143.90,11112.00,80757.79,251.35,59535.00,2790.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,48400.00,170.05,187.65,145.85,154.60,153.80,154.60,12581.00,91648.01,309.95,87945.00,5175.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,47900.00,95.00,132.95,95.00,109.00,106.90,109.00,12014.00,86527.56,206.97,20550.00,-14550.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,42500.00,3.95,4.85,3.80,4.45,4.45,4.45,142304.00,907279.15,91.15,865395.00,-498570.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,43000.00,4.10,5.30,4.00,4.75,4.90,4.75,120380.00,776531.21,80.21,808515.00,-382905.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,47500.00,85.55,99.35,76.80,82.90,83.85,82.90,94440.00,674106.25,1221.25,521535.00,50430.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,51900.00,1344.05,1413.00,1184.85,1216.00,1205.85,1216.00,5440.00,43396.05,1045.65,83325.00,-5835.00,50860.20
BANKNIFTY,31-Dec-2024,29-Jan-2025,PE,53300.00,2379.95,2455.20,2188.50,2201.75,2197.40,2201.75,198.00,1650.54,67.53,42450.00,-465.00,50860.20
