Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,37700.00,2176.35,2191.55,2176.35,2191.55,2191.55,2236.30,4.00,39.88,2.18,50.00,25.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,39400.00,-,-,-,4215.25,4215.25,3894.80,-,-,-,75.00,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,41000.00,-,-,-,5820.00,5820.00,5491.70,-,-,-,25.00,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,42700.00,-,-,-,4039.95,-,7190.55,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,41300.00,-,-,-,3085.40,-,5791.45,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,41400.00,-,-,-,3149.50,-,5891.40,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,43000.00,-,-,-,4259.60,-,7490.35,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,32200.00,11.25,13.70,4.95,5.95,5.05,5.95,16501.00,132868.62,35.57,28750.00,15925.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,32300.00,13.40,14.75,5.05,6.40,6.00,6.40,16689.00,134802.62,38.95,24925.00,7725.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,34900.00,292.00,310.10,133.05,159.90,139.75,159.90,218209.00,1913722.39,9848.86,329125.00,124650.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,PE,36500.00,1294.35,1322.60,970.50,1047.80,1009.00,1047.80,7948.00,74619.79,2094.29,79275.00,52325.00,34684.00
