Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,50700.00,2256.20,2330.00,1720.00,1798.85,1733.25,1798.85,122.00,965.72,37.91,7110.00,-195.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,50800.00,2165.00,2326.80,1582.20,1653.75,1645.00,1653.75,902.00,7103.69,230.45,18285.00,10320.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,53500.00,230.55,249.95,80.00,90.35,83.00,90.35,1822765.00,14668472.23,40783.11,2025975.00,974490.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,53600.00,167.70,218.00,69.80,79.00,71.00,79.00,679715.00,5477934.87,13026.27,637650.00,305775.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,50900.00,2100.00,2158.90,1499.45,1561.20,1562.90,1561.20,261.00,2059.43,66.69,7875.00,-885.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,53700.00,149.95,189.50,60.00,67.95,64.00,67.95,629444.00,5080587.99,10416.57,653925.00,221460.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,53800.00,127.45,164.00,50.85,59.35,53.00,59.35,733431.00,5929370.80,10582.63,826935.00,254685.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,51000.00,1950.00,2080.00,1400.00,1481.10,1473.60,1481.10,8362.00,66109.89,2140.59,143760.00,-24570.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,53900.00,122.95,141.70,45.25,51.30,51.90,51.30,584179.00,4730618.33,7531.11,638565.00,173505.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,51100.00,1919.50,1971.85,1341.45,1387.90,1375.00,1387.90,527.00,4168.91,129.46,10410.00,-2190.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,54000.00,89.55,122.40,40.05,44.70,44.25,44.70,1715520.00,13914217.76,18505.76,2173065.00,324060.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,54100.00,76.00,106.40,34.85,39.45,35.00,39.45,465862.00,3784846.16,4376.03,458925.00,189270.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,54200.00,69.25,91.80,30.80,34.65,31.55,34.65,491321.00,3998430.41,3990.68,731715.00,210555.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,51200.00,1781.25,1886.50,1219.95,1324.90,1275.15,1324.90,759.00,6002.84,173.72,13260.00,1365.00,52342.25
BANKNIFTY,28-Jun-2024,03-Jul-2024,CE,51300.00,1718.60,1778.30,1140.95,1197.05,1192.40,1197.05,870.00,6881.52,186.87,21105.00,-3660.00,52342.25
