Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Dec-2022,05-Jan-2023,CE,41400.00,1958.40,1958.40,1728.05,1728.05,1728.05,1718.10,22.00,238.08,10.38,3200.00,225.00,42986.45
BANKNIFTY,30-Dec-2022,05-Jan-2023,CE,41500.00,1850.00,1984.60,1433.90,1539.55,1601.00,1539.55,1949.00,21052.57,831.70,52875.00,-800.00,42986.45
BANKNIFTY,30-Dec-2022,05-Jan-2023,CE,44200.00,79.10,93.15,30.00,38.70,40.00,38.70,543222.00,6009395.99,6792.89,889600.00,583850.00,42986.45
BANKNIFTY,30-Dec-2022,05-Jan-2023,CE,41600.00,1757.00,1757.00,1351.00,1421.90,1500.00,1421.90,189.00,2042.56,76.96,9275.00,325.00,42986.45
BANKNIFTY,30-Dec-2022,05-Jan-2023,CE,44300.00,53.85,75.55,24.85,31.60,32.85,31.60,432456.00,4793875.44,4425.24,770650.00,569825.00,42986.45
BANKNIFTY,30-Dec-2022,05-Jan-2023,CE,42500.00,941.40,1040.00,583.45,660.85,710.00,660.85,82258.00,889818.62,15827.37,255275.00,-26975.00,42986.45
BANKNIFTY,30-Dec-2022,05-Jan-2023,CE,38500.00,-,-,-,4150.00,4150.00,4529.90,-,-,-,25.00,-,42986.45
BANKNIFTY,30-Dec-2022,05-Jan-2023,CE,42600.00,805.35,946.80,519.95,585.65,620.40,585.65,31713.00,343092.70,5349.25,104675.00,-4050.00,42986.45
BANKNIFTY,30-Dec-2022,05-Jan-2023,CE,42700.00,782.40,868.80,458.20,516.55,554.65,516.55,73903.00,799838.83,10924.31,187150.00,63150.00,42986.45
BANKNIFTY,30-Dec-2022,05-Jan-2023,CE,39000.00,4059.25,4059.25,3950.00,4000.00,4050.00,4000.00,6.00,64.56,6.06,925.00,-,42986.45
