Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,32100.00,-,-,-,3207.55,3207.55,3405.10,-,-,-,25.00,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,32200.00,-,-,-,4190.70,-,3305.85,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,34400.00,933.45,1260.55,933.40,1178.90,1212.00,1178.90,573.00,5092.94,165.14,6950.00,-1475.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,34900.00,592.35,881.90,519.05,759.80,794.95,759.80,25243.00,224834.67,4589.49,63200.00,-15225.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,38700.00,4.45,5.05,2.65,3.15,2.85,3.15,2538.00,24557.59,2.44,1625.00,1625.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,40400.00,-,-,-,1814.15,-,0.25,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,42000.00,2.85,3.10,1.60,1.80,1.60,1.80,6975.00,73241.26,3.76,24350.00,7275.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,42100.00,-,-,-,1202.90,-,-,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,33200.00,-,-,-,1955.00,1955.00,2329.55,-,-,-,100.00,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,35600.00,230.10,408.00,184.95,323.65,328.00,323.65,698474.00,6274650.80,58232.20,483600.00,159200.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,37200.00,11.90,25.10,9.35,13.35,13.90,13.35,71096.00,661476.59,283.79,142900.00,100775.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,38800.00,4.45,4.80,2.30,2.95,2.30,2.95,3511.00,34060.04,3.34,5175.00,3500.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,40500.00,3.20,3.20,1.65,1.80,1.70,1.80,5842.00,59153.77,3.52,40900.00,37925.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,42200.00,-,-,-,1172.75,-,-,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,33300.00,2057.05,2091.00,2057.05,2091.00,2091.00,2234.85,2.00,17.69,1.04,100.00,25.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,33400.00,-,-,-,1759.95,1759.95,2141.00,-,-,-,150.00,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,35700.00,155.00,356.85,155.00,277.60,283.10,277.60,580351.00,5221280.53,41647.86,394525.00,258625.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,37300.00,10.45,21.10,7.80,11.25,11.10,11.25,59414.00,554235.97,200.42,178050.00,125375.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,38900.00,4.20,4.65,2.45,2.95,2.45,2.95,5491.00,53405.00,5.03,4275.00,3650.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,40600.00,-,-,-,1732.15,-,0.15,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,42300.00,-,-,-,1143.20,-,-,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,36000.00,81.10,223.90,80.10,165.70,171.00,165.70,893887.00,8083395.56,38412.56,1240700.00,216225.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,37600.00,7.45,12.90,5.95,6.75,6.10,6.75,39996.00,376045.99,83.59,74775.00,43200.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,39200.00,3.50,4.40,2.25,3.00,2.25,3.00,874.00,8565.91,0.71,5225.00,2625.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,40900.00,-,-,-,1614.35,-,0.10,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,42500.00,3.00,3.00,1.55,1.90,1.55,1.90,3020.00,32089.08,1.58,5900.00,4975.00,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,42600.00,-,-,-,1058.00,-,-,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,30900.00,-,-,-,3644.15,-,4601.90,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,31000.00,-,-,-,4068.40,4068.40,4502.00,-,-,-,25.00,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,31100.00,-,-,-,3456.80,-,4402.10,-,-,-,-,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,31200.00,-,-,-,4033.75,4033.75,4302.25,-,-,-,25.00,-,34684.00
BANKNIFTY,31-Dec-2021,06-Jan-2022,CE,31300.00,-,-,-,3369.25,3369.25,4202.35,-,-,-,25.00,-,34684.00
