Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,41400.00,10.00,10.70,6.00,7.55,8.00,7.55,46825.00,484739.34,100.59,78900.00,47875.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,41500.00,9.65,10.55,5.60,6.50,6.00,6.50,423435.00,4393943.29,805.16,1006575.00,351225.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,46000.00,4.95,5.20,2.65,2.95,2.85,2.95,25382.00,291916.08,23.08,103825.00,7600.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,46500.00,4.50,5.00,2.25,2.60,2.60,2.60,211408.00,2457788.44,170.44,1257650.00,158725.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,41600.00,19.00,19.00,4.65,6.75,6.60,6.75,39659.00,412528.37,74.77,63275.00,20350.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,41700.00,8.75,9.60,5.30,6.40,6.10,6.40,27874.00,290635.58,49.13,51750.00,34850.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,41800.00,8.00,9.10,5.25,6.20,5.25,6.20,19493.00,203735.20,33.35,44375.00,24175.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,39500.00,56.65,187.60,29.40,127.45,135.35,127.45,1607572.00,15920025.14,45251.64,1391375.00,796175.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,41900.00,8.10,8.70,5.25,6.05,5.45,6.05,19230.00,201466.05,31.80,46200.00,27075.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,42400.00,7.00,7.90,4.75,5.35,5.20,5.35,10121.00,107297.04,14.44,34075.00,12300.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,42500.00,7.20,7.50,4.60,5.00,4.90,5.00,159821.00,1698316.65,218.53,460350.00,278950.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,40100.00,25.00,69.70,13.10,41.10,39.50,41.10,301359.00,3024360.58,3236.61,254250.00,141225.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,42600.00,7.15,7.15,4.60,5.00,5.00,5.00,4583.00,48815.09,6.14,6550.00,-6500.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,40200.00,22.40,58.15,11.90,33.25,32.55,33.25,341768.00,3437748.05,2979.65,364750.00,174175.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,40300.00,18.05,48.70,10.90,27.25,28.20,27.25,264558.00,2667347.32,1925.47,309175.00,196025.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,42700.00,6.50,8.20,4.00,4.85,4.50,4.85,3809.00,40666.03,4.96,5225.00,-650.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,42800.00,7.50,7.50,4.15,4.75,4.40,4.75,4058.00,43425.81,5.21,11550.00,4100.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,40400.00,18.95,40.85,10.05,22.95,23.00,22.95,231417.00,2338702.61,1390.91,231575.00,126275.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,40500.00,16.00,34.60,9.30,19.40,20.95,19.40,809023.00,8195567.11,4209.23,1550175.00,913600.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,42900.00,6.00,7.60,4.05,4.55,4.40,4.55,3764.00,40373.62,4.72,7975.00,-1525.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,40600.00,15.05,28.85,8.65,16.45,17.80,16.45,165048.00,1675994.53,757.33,159900.00,82050.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,43000.00,5.90,6.65,3.90,4.30,4.15,4.30,136754.00,1470267.62,162.12,351425.00,79225.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,43100.00,6.80,7.90,3.70,4.30,4.05,4.30,2866.00,30884.62,3.47,7425.00,-75.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,40700.00,14.65,24.70,8.10,14.05,14.75,14.05,162199.00,1651039.58,664.75,211650.00,141050.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,43200.00,3.10,5.40,3.10,4.15,3.95,4.15,2121.00,22909.15,2.35,4275.00,-1725.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,43300.00,3.10,9.90,3.10,4.15,3.95,4.15,1630.00,17646.55,1.80,6150.00,2775.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,40800.00,15.00,21.25,7.70,12.30,12.00,12.30,148814.00,1518430.77,527.97,247775.00,175300.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,40900.00,12.45,18.40,7.35,11.05,10.40,11.05,108845.00,1113284.03,343.90,169625.00,112250.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,43400.00,6.25,8.05,3.30,3.80,3.60,3.80,3098.00,33616.72,3.42,14775.00,3425.00,38631.95
BANKNIFTY,30-Sep-2022,06-Oct-2022,CE,43500.00,5.90,6.40,3.55,3.95,3.60,3.95,30867.00,335711.77,33.15,156775.00,61825.00,38631.95
