Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,44900.00,103.75,191.95,95.25,161.50,164.85,161.50,1563068.00,17602561.96,57123.66,1098975.00,441750.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,49500.00,2.75,3.45,2.10,2.20,2.25,2.20,80964.00,1001984.39,54.89,154300.00,93100.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,50000.00,2.65,3.40,2.05,2.20,2.25,2.20,185940.00,2324368.92,118.92,424875.00,232625.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,45000.00,112.00,150.00,74.20,123.10,125.00,123.10,2553101.00,28793448.01,71061.76,2442825.00,1113375.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,45100.00,64.00,116.40,55.55,91.95,91.00,91.95,1134390.00,12814819.35,24572.10,955500.00,607525.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,50500.00,2.80,3.35,2.00,2.15,2.10,2.15,540554.00,6824824.97,330.72,862125.00,631800.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,45200.00,72.50,88.75,40.80,67.90,69.00,67.90,1071319.00,12123240.32,17335.62,1037525.00,325975.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,45300.00,39.50,67.40,30.65,49.75,49.20,49.75,855678.00,9700777.85,10224.50,822575.00,397350.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,45400.00,30.45,52.45,23.85,36.30,36.15,36.30,732865.00,8324658.16,6640.41,664825.00,442225.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,45500.00,24.85,38.55,18.90,26.85,25.55,26.85,1235947.00,14067455.84,8558.72,1730750.00,679025.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,45600.00,32.45,32.45,13.80,19.95,19.50,19.95,772514.00,8810778.04,4118.44,712200.00,471875.00,-
